  7984: E[0:02:14]-R[0:00:34]: Return=     0.991, Steps=  10, Features = 16
  8000: >>> E[0:02:15]-R[0:00:34]: Return=    0.6538, Steps= 7.2, Features = 16
  8090: E[0:02:16]-R[0:00:32]: Return=     0.991, Steps=  10, Features = 16
  8182: E[0:02:17]-R[0:00:30]: Return=     0.993, Steps=   8, Features = 16
  8270: E[0:02:18]-R[0:00:29]: Return=     0.983, Steps=  18, Features = 16
  8356: E[0:02:19]-R[0:00:27]: Return=    -1.001, Steps=   2, Features = 16
  8448: E[0:02:20]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 16
  8550: E[0:02:21]-R[0:00:24]: Return=     0.987, Steps=  14, Features = 16
  8648: E[0:02:22]-R[0:00:22]: Return=     0.991, Steps=  10, Features = 16
  8738: E[0:02:23]-R[0:00:21]: Return=     0.991, Steps=  10, Features = 16
  8830: E[0:02:24]-R[0:00:19]: Return=    -1.001, Steps=   2, Features = 16
  8936: E[0:02:25]-R[0:00:17]: Return=     0.987, Steps=  14, Features = 16
  9000: >>> E[0:02:26]-R[0:00:16]: Return=     0.634, Steps=7.04, Features = 16
  9088: E[0:02:27]-R[0:00:15]: Return=    -1.001, Steps=   2, Features = 16
  9190: E[0:02:28]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
  9282: E[0:02:29]-R[0:00:12]: Return=    -1.013, Steps=  14, Features = 16
  9372: E[0:02:30]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
  9482: E[0:02:31]-R[0:00:08]: Return=     0.983, Steps=  18, Features = 16
  9562: E[0:02:32]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  9656: E[0:02:33]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  9748: E[0:02:34]-R[0:00:04]: Return=    -1.003, Steps=   4, Features = 16
  9848: E[0:02:35]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  9938: E[0:02:36]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
 10000: >>> E[0:02:37]-R[0:00:00]: Return=    0.6535, Steps=7.54, Features = 16
Total Experiment Duration 0:02:37
Output:			./Results/Experiment5/
     0: >>> E[0:00:00]-R[?]: Return=        -1, Steps= 1.0, Features = 64
