  9480: E[0:03:38]-R[0:07:53]: Return=    -1.136, Steps= 137, Features = 81
  9667: E[0:03:43]-R[0:07:48]: Return=    -1.154, Steps= 155, Features = 81
  9713: E[0:03:44]-R[0:07:47]: Return=    -1.045, Steps=  46, Features = 81
  9819: E[0:03:46]-R[0:07:44]: Return=    -1.105, Steps= 106, Features = 81
 10159: E[0:03:54]-R[0:07:36]: Return=    -1.315, Steps= 316, Features = 81
 10252: E[0:03:56]-R[0:07:34]: Return=    -1.088, Steps=  89, Features = 81
 10312: E[0:03:57]-R[0:07:33]: Return=    -1.018, Steps=  19, Features = 81
 10511: E[0:04:02]-R[0:07:28]: Return=    -1.171, Steps= 172, Features = 81
 10587: E[0:04:03]-R[0:07:26]: Return=     0.925, Steps=  76, Features = 81
 10723: E[0:04:07]-R[0:07:23]: Return=    -1.108, Steps= 109, Features = 81
 10791: E[0:04:08]-R[0:07:21]: Return=    -1.062, Steps=  63, Features = 81
 10956: E[0:04:12]-R[0:07:18]: Return=    -1.147, Steps= 148, Features = 81
 11021: E[0:04:13]-R[0:07:16]: Return=    -1.032, Steps=  33, Features = 81
 11097: E[0:04:15]-R[0:07:14]: Return=     0.925, Steps=  76, Features = 81
 11195: E[0:04:17]-R[0:07:12]: Return=    -1.097, Steps=  98, Features = 81
 11484: E[0:04:23]-R[0:07:05]: Return=    -1.288, Steps= 289, Features = 81
 11557: E[0:04:25]-R[0:07:03]: Return=    -1.044, Steps=  45, Features = 81
 11655: E[0:04:27]-R[0:07:01]: Return=    -1.056, Steps=  57, Features = 81
 11716: E[0:04:29]-R[0:06:59]: Return=    -1.018, Steps=  19, Features = 81
 11847: E[0:04:32]-R[0:06:56]: Return=    -1.118, Steps= 119, Features = 81
 11900: E[0:04:33]-R[0:06:55]: Return=     0.961, Steps=  40, Features = 81
 12000: >>> E[0:04:35]-R[0:06:53]: Return=   -0.8587, Steps=69.69, Features = 81
 12074: E[0:04:37]-R[0:06:51]: Return=     0.959, Steps=  42, Features = 81
 12182: E[0:04:39]-R[0:06:49]: Return=    -1.104, Steps= 105, Features = 81
 12244: E[0:04:41]-R[0:06:47]: Return=     0.939, Steps=  62, Features = 81
 12681: E[0:04:51]-R[0:06:37]: Return=    -1.411, Steps= 412, Features = 81
 12721: E[0:04:52]-R[0:06:37]: Return=    -1.008, Steps=   9, Features = 81
 12882: E[0:04:56]-R[0:06:33]: Return=    -1.142, Steps= 143, Features = 81
 12922: E[0:04:57]-R[0:06:32]: Return=        -1, Steps=   1, Features = 81
 13057: E[0:05:00]-R[0:06:29]: Return=      -1.1, Steps= 101, Features = 81
 13123: E[0:05:01]-R[0:06:27]: Return=    -1.065, Steps=  66, Features = 81
 13203: E[0:05:03]-R[0:06:26]: Return=     -1.04, Steps=  41, Features = 81
 13274: E[0:05:05]-R[0:06:24]: Return=     -1.07, Steps=  71, Features = 81
 13327: E[0:05:06]-R[0:06:23]: Return=     -1.04, Steps=  41, Features = 81
 13404: E[0:05:08]-R[0:06:21]: Return=    -1.076, Steps=  77, Features = 81
 13546: E[0:05:11]-R[0:06:18]: Return=    -1.141, Steps= 142, Features = 81
 13620: E[0:05:13]-R[0:06:16]: Return=     0.927, Steps=  74, Features = 81
 13682: E[0:05:14]-R[0:06:15]: Return=    -1.061, Steps=  62, Features = 81
 13769: E[0:05:16]-R[0:06:13]: Return=    -1.086, Steps=  87, Features = 81
 13849: E[0:05:18]-R[0:06:11]: Return=    -1.076, Steps=  77, Features = 81
 13910: E[0:05:20]-R[0:06:10]: Return=     -1.06, Steps=  61, Features = 81
 13970: E[0:05:21]-R[0:06:08]: Return=    -1.055, Steps=  56, Features = 81
 14028: E[0:05:22]-R[0:06:07]: Return=    -1.057, Steps=  58, Features = 81
 14094: E[0:05:24]-R[0:06:05]: Return=     0.935, Steps=  66, Features = 81
 14180: E[0:05:26]-R[0:06:04]: Return=     0.915, Steps=  86, Features = 81
 14243: E[0:05:27]-R[0:06:02]: Return=    -1.061, Steps=  62, Features = 81
 14308: E[0:05:29]-R[0:06:01]: Return=    -1.064, Steps=  65, Features = 81
 14479: E[0:05:33]-R[0:05:57]: Return=    -1.168, Steps= 169, Features = 81
 14594: E[0:05:35]-R[0:05:54]: Return=    -1.072, Steps=  73, Features = 81
 14735: E[0:05:38]-R[0:05:50]: Return=     -1.14, Steps= 141, Features = 81
 14836: E[0:05:40]-R[0:05:48]: Return=    -1.098, Steps=  99, Features = 81
 14970: E[0:05:43]-R[0:05:45]: Return=    -1.133, Steps= 134, Features = 81
 15000: >>> E[0:05:44]-R[0:05:44]: Return=   -0.6849, Steps=45.91, Features = 81
 15142: E[0:05:47]-R[0:05:41]: Return=     0.829, Steps= 172, Features = 81
 15263: E[0:05:50]-R[0:05:38]: Return=    -1.114, Steps= 115, Features = 81
 15411: E[0:05:53]-R[0:05:35]: Return=    -1.146, Steps= 147, Features = 81
 15522: E[0:05:56]-R[0:05:32]: Return=     0.901, Steps= 100, Features = 81
 15585: E[0:05:57]-R[0:05:31]: Return=    -1.062, Steps=  63, Features = 81
 15712: E[0:06:00]-R[0:05:28]: Return=    -1.126, Steps= 127, Features = 81
 15783: E[0:06:02]-R[0:05:26]: Return=     -1.07, Steps=  71, Features = 81
 15843: E[0:06:03]-R[0:05:25]: Return=    -1.051, Steps=  52, Features = 81
 15887: E[0:06:04]-R[0:05:24]: Return=    -1.025, Steps=  26, Features = 81
 15994: E[0:06:07]-R[0:05:21]: Return=    -1.106, Steps= 107, Features = 81
 16042: E[0:06:08]-R[0:05:20]: Return=    -1.037, Steps=  38, Features = 81
 16155: E[0:06:11]-R[0:05:18]: Return=    -1.112, Steps= 113, Features = 81
 16285: E[0:06:14]-R[0:05:15]: Return=    -1.123, Steps= 124, Features = 81
 16395: E[0:06:16]-R[0:05:12]: Return=    -1.109, Steps= 110, Features = 81
 16536: E[0:06:19]-R[0:05:09]: Return=     -1.14, Steps= 141, Features = 81
 16643: E[0:06:22]-R[0:05:06]: Return=    -1.106, Steps= 107, Features = 81
 16941: E[0:06:28]-R[0:04:59]: Return=     -1.26, Steps= 261, Features = 81
 17042: E[0:06:31]-R[0:04:57]: Return=    -1.074, Steps=  75, Features = 81
 17123: E[0:06:32]-R[0:04:55]: Return=    -1.079, Steps=  80, Features = 81
 17346: E[0:06:37]-R[0:04:50]: Return=    -1.204, Steps= 205, Features = 81
 17417: E[0:06:39]-R[0:04:48]: Return=     -1.07, Steps=  71, Features = 81
 17471: E[0:06:40]-R[0:04:47]: Return=    -1.012, Steps=  13, Features = 81
 17642: E[0:06:44]-R[0:04:43]: Return=     -1.17, Steps= 171, Features = 81
 17769: E[0:06:47]-R[0:04:40]: Return=    -1.126, Steps= 127, Features = 81
 17843: E[0:06:48]-R[0:04:38]: Return=    -1.048, Steps=  49, Features = 81
 17891: E[0:06:50]-R[0:04:37]: Return=    -1.038, Steps=  39, Features = 81
 17948: E[0:06:51]-R[0:04:36]: Return=    -1.056, Steps=  57, Features = 81
 18000: >>> E[0:06:52]-R[0:04:35]: Return=    -1.096, Steps=107.01, Features = 81
 18108: E[0:06:54]-R[0:04:32]: Return=    -1.124, Steps= 125, Features = 81
 18262: E[0:06:58]-R[0:04:29]: Return=    -1.143, Steps= 144, Features = 81
 18373: E[0:07:00]-R[0:04:26]: Return=    -1.079, Steps=  80, Features = 81
 18540: E[0:07:04]-R[0:04:22]: Return=    -1.134, Steps= 135, Features = 81
 18596: E[0:07:05]-R[0:04:21]: Return=    -1.041, Steps=  42, Features = 81
 18760: E[0:07:09]-R[0:04:17]: Return=    -1.163, Steps= 164, Features = 81
 18810: E[0:07:10]-R[0:04:16]: Return=    -1.021, Steps=  22, Features = 81
 18950: E[0:07:13]-R[0:04:13]: Return=    -1.115, Steps= 116, Features = 81
 19054: E[0:07:16]-R[0:04:10]: Return=    -1.097, Steps=  98, Features = 81
 19110: E[0:07:17]-R[0:04:09]: Return=    -1.018, Steps=  19, Features = 81
 19229: E[0:07:20]-R[0:04:06]: Return=    -1.117, Steps= 118, Features = 81
 19411: E[0:07:24]-R[0:04:02]: Return=    -1.181, Steps= 182, Features = 81
 19575: E[0:07:27]-R[0:03:58]: Return=    -1.125, Steps= 126, Features = 81
 19635: E[0:07:29]-R[0:03:57]: Return=     -1.03, Steps=  31, Features = 81
 19863: E[0:07:34]-R[0:03:52]: Return=    -1.204, Steps= 205, Features = 81
 20058: E[0:07:38]-R[0:03:47]: Return=    -1.166, Steps= 167, Features = 81
 20124: E[0:07:40]-R[0:03:46]: Return=    -1.061, Steps=  62, Features = 81
 20330: E[0:07:44]-R[0:03:41]: Return=    -1.183, Steps= 184, Features = 81
 20415: E[0:07:46]-R[0:03:39]: Return=    -1.047, Steps=  48, Features = 81
 20550: E[0:07:49]-R[0:03:36]: Return=    -1.133, Steps= 134, Features = 81
 20596: E[0:07:50]-R[0:03:35]: Return=    -1.009, Steps=  10, Features = 81
 20797: E[0:07:55]-R[0:03:30]: Return=    -1.198, Steps= 199, Features = 81
 20942: E[0:07:58]-R[0:03:27]: Return=    -1.143, Steps= 144, Features = 81
 21000: >>> E[0:08:00]-R[0:03:26]: Return=    -1.094, Steps=95.2, Features = 81
 21171: E[0:08:03]-R[0:03:22]: Return=    -1.202, Steps= 203, Features = 81
 21236: E[0:08:05]-R[0:03:20]: Return=    -1.059, Steps=  60, Features = 81
 21284: E[0:08:06]-R[0:03:19]: Return=    -1.046, Steps=  47, Features = 81
 21344: E[0:08:07]-R[0:03:18]: Return=    -1.059, Steps=  60, Features = 81
 21465: E[0:08:10]-R[0:03:15]: Return=     -1.12, Steps= 121, Features = 81
 21599: E[0:08:13]-R[0:03:12]: Return=    -1.128, Steps= 129, Features = 81
 21644: E[0:08:14]-R[0:03:11]: Return=    -1.043, Steps=  44, Features = 81
 21701: E[0:08:15]-R[0:03:09]: Return=    -1.052, Steps=  53, Features = 81
 21935: E[0:08:21]-R[0:03:04]: Return=    -1.233, Steps= 234, Features = 81
 22038: E[0:08:23]-R[0:03:02]: Return=     0.915, Steps=  86, Features = 81
